folio_id,section_label,visual_category,certainty,note
f1r,unknown,unknown,low,no explicit conventional visual/codicological label found in local comments
f1v,herbal,herbal,high,explicit comment contains herbal
f2r,herbal,herbal,high,explicit comment contains herbal
f2v,herbal,herbal,high,explicit comment contains herbal
f3r,herbal,herbal,high,explicit comment contains herbal
f3v,herbal,herbal,high,explicit comment contains herbal
f4r,herbal,herbal,high,explicit comment contains herbal
f4v,herbal,herbal,high,explicit comment contains herbal
f5r,herbal,herbal,high,explicit comment contains herbal
f5v,herbal,herbal,high,explicit comment contains herbal
f6r,herbal,herbal,high,explicit comment contains herbal
f6v,herbal,herbal,high,explicit comment contains herbal
f7r,herbal,herbal,high,explicit comment contains herbal
f7v,herbal,herbal,high,explicit comment contains herbal
f8r,herbal,herbal,high,explicit comment contains herbal
f8v,herbal,herbal,high,explicit comment contains herbal
f9r,herbal,herbal,high,explicit comment contains herbal
f9v,herbal,herbal,high,explicit comment contains herbal
f10r,herbal,herbal,high,explicit comment contains herbal
f10v,herbal,herbal,high,explicit comment contains herbal
f11r,herbal,herbal,high,explicit comment contains herbal
f11v,herbal,herbal,high,explicit comment contains herbal
f13r,herbal,herbal,high,explicit comment contains herbal
f13v,herbal,herbal,high,explicit comment contains herbal
f14r,herbal,herbal,high,explicit comment contains herbal
f14v,herbal,herbal,high,explicit comment contains herbal
f15r,herbal,herbal,high,explicit comment contains herbal
f15v,herbal,herbal,high,explicit comment contains herbal
f16r,herbal,herbal,high,explicit comment contains herbal
f16v,herbal,herbal,high,explicit comment contains herbal
f17r,herbal,herbal,high,explicit comment contains herbal
f17v,herbal,herbal,high,explicit comment contains herbal
f18r,herbal,herbal,high,explicit comment contains herbal
f18v,herbal,herbal,high,explicit comment contains herbal
f19r,herbal,herbal,high,explicit comment contains herbal
f19v,herbal,herbal,high,explicit comment contains herbal
f20r,herbal,herbal,high,explicit comment contains herbal
f20v,herbal,herbal,high,explicit comment contains herbal
f21r,herbal,herbal,high,explicit comment contains herbal
f21v,herbal,herbal,high,explicit comment contains herbal
f22r,herbal,herbal,high,explicit comment contains herbal
f22v,herbal,herbal,high,explicit comment contains herbal
f23r,herbal,herbal,high,explicit comment contains herbal
f23v,herbal,herbal,high,explicit comment contains herbal
f24r,herbal,herbal,high,explicit comment contains herbal
f24v,herbal,herbal,high,explicit comment contains herbal
f25r,herbal,herbal,high,explicit comment contains herbal
f25v,herbal,herbal,high,explicit comment contains herbal
f26r,herbal,herbal,high,explicit comment contains herbal
f26v,herbal,herbal,high,explicit comment contains herbal
f27r,herbal,herbal,high,explicit comment contains herbal
f27v,herbal,herbal,high,explicit comment contains herbal
f28r,herbal,herbal,high,explicit comment contains herbal
f28v,herbal,herbal,high,explicit comment contains herbal
f29r,herbal,herbal,high,explicit comment contains herbal
f29v,herbal,herbal,high,explicit comment contains herbal
f30r,herbal,herbal,high,explicit comment contains herbal
f30v,herbal,herbal,high,explicit comment contains herbal
f31r,herbal,herbal,high,explicit comment contains herbal
f31v,herbal,herbal,high,explicit comment contains herbal
f32r,herbal,herbal,high,explicit comment contains herbal
f32v,herbal,herbal,high,explicit comment contains herbal
f33r,herbal,herbal,high,explicit comment contains herbal
f33v,herbal,herbal,high,explicit comment contains herbal
f34r,herbal,herbal,high,explicit comment contains herbal
f34v,herbal,herbal,high,explicit comment contains herbal
f35r,herbal,herbal,high,explicit comment contains herbal
f35v,herbal,herbal,high,explicit comment contains herbal
f36r,herbal,herbal,high,explicit comment contains herbal
f36v,herbal,herbal,high,explicit comment contains herbal
f37r,herbal,herbal,high,explicit comment contains herbal
f37v,herbal,herbal,high,explicit comment contains herbal
f38r,herbal,herbal,high,explicit comment contains herbal
f38v,herbal,herbal,high,explicit comment contains herbal
f39r,herbal,herbal,high,explicit comment contains herbal
f39v,herbal,herbal,high,explicit comment contains herbal
f40r,herbal,herbal,high,explicit comment contains herbal
f40v,herbal,herbal,high,explicit comment contains herbal
f41r,herbal,herbal,high,explicit comment contains herbal
f41v,herbal,herbal,high,explicit comment contains herbal
f42r,herbal,herbal,high,explicit comment contains herbal
f42v,herbal,herbal,high,explicit comment contains herbal
f43r,herbal,herbal,high,explicit comment contains herbal
f43v,herbal,herbal,high,explicit comment contains herbal
f44r,herbal,herbal,high,explicit comment contains herbal
f44v,herbal,herbal,high,explicit comment contains herbal
f45r,herbal,herbal,high,explicit comment contains herbal
f45v,herbal,herbal,high,explicit comment contains herbal
f46r,herbal,herbal,high,explicit comment contains herbal
f46v,herbal,herbal,high,explicit comment contains herbal
f47r,herbal,herbal,high,explicit comment contains herbal
f47v,herbal,herbal,high,explicit comment contains herbal
f48r,herbal,herbal,high,explicit comment contains herbal
f48v,herbal,herbal,high,explicit comment contains herbal
f49r,herbal,herbal,high,explicit comment contains herbal
f49v,herbal,herbal,high,explicit comment contains herbal
f50r,herbal,herbal,high,explicit comment contains herbal
f50v,herbal,herbal,high,explicit comment contains herbal
f51r,herbal,herbal,high,explicit comment contains herbal
f51v,herbal,herbal,high,explicit comment contains herbal
f52r,herbal,herbal,high,explicit comment contains herbal
f52v,herbal,herbal,high,explicit comment contains herbal
f53r,herbal,herbal,high,explicit comment contains herbal
f53v,herbal,herbal,high,explicit comment contains herbal
f54r,herbal,herbal,high,explicit comment contains herbal
f54v,herbal,herbal,high,explicit comment contains herbal
f55r,herbal,herbal,high,explicit comment contains herbal
f55v,herbal,herbal,high,explicit comment contains herbal
f56r,herbal,herbal,high,explicit comment contains herbal
f56v,herbal,herbal,high,explicit comment contains herbal
f57r,herbal,herbal,high,explicit comment contains herbal
f57v,cosmological,cosmological,medium,explicit comment contains cosmological/rosette
f58r,unknown,unknown,low,no explicit conventional visual/codicological label found in local comments
f58v,unknown,unknown,low,no explicit conventional visual/codicological label found in local comments
f65r,herbal,herbal,high,explicit comment contains herbal
f65v,herbal,herbal,high,explicit comment contains herbal
f66r,unknown,unknown,low,no explicit conventional visual/codicological label found in local comments
f66v,herbal,herbal,high,explicit comment contains herbal
f67r1,astronomical_zodiac,astronomical_zodiac,medium,explicit comment contains zodiac/astronomical
f67r2,astronomical_zodiac,astronomical_zodiac,medium,explicit comment contains zodiac/astronomical
f67v2,cosmological,cosmological,medium,explicit comment contains cosmological/rosette
f67v1,astronomical_zodiac,astronomical_zodiac,medium,"explicit comment contains zodiac/astronomical; multiple cues present: astronomical_zodiac, recipes_stars"
f68r1,astronomical_zodiac,astronomical_zodiac,medium,explicit comment contains zodiac/astronomical
f68r2,astronomical_zodiac,astronomical_zodiac,medium,"explicit comment contains zodiac/astronomical; multiple cues present: astronomical_zodiac, recipes_stars"
f68r3,astronomical_zodiac,astronomical_zodiac,medium,"explicit comment contains zodiac/astronomical; multiple cues present: astronomical_zodiac, recipes_stars"
f68v3,cosmological,cosmological,medium,explicit comment contains cosmological/rosette
f68v2,astronomical_zodiac,astronomical_zodiac,medium,explicit comment contains zodiac/astronomical
f68v1,astronomical_zodiac,astronomical_zodiac,medium,explicit comment contains zodiac/astronomical
f69r,cosmological,cosmological,medium,explicit comment contains cosmological/rosette
f69v,cosmological,cosmological,medium,explicit comment contains cosmological/rosette
f70r1,cosmological,cosmological,medium,explicit comment contains cosmological/rosette
f70r2,cosmological,cosmological,medium,explicit comment contains cosmological/rosette
f70v2,recipes_stars,recipes_stars,medium,explicit comment contains recipe/stars
f70v1,unknown,unknown,low,no explicit conventional visual/codicological label found in local comments
f71r,unknown,unknown,low,no explicit conventional visual/codicological label found in local comments
f71v,unknown,unknown,low,no explicit conventional visual/codicological label found in local comments
f72r1,unknown,unknown,low,no explicit conventional visual/codicological label found in local comments
f72r2,unknown,unknown,low,no explicit conventional visual/codicological label found in local comments
f72r3,unknown,unknown,low,no explicit conventional visual/codicological label found in local comments
f72v3,unknown,unknown,low,no explicit conventional visual/codicological label found in local comments
f72v2,unknown,unknown,low,no explicit conventional visual/codicological label found in local comments
f72v1,unknown,unknown,low,no explicit conventional visual/codicological label found in local comments
f73r,unknown,unknown,low,no explicit conventional visual/codicological label found in local comments
f73v,unknown,unknown,low,no explicit conventional visual/codicological label found in local comments
f75r,biological_balneological,biological_balneological,medium,explicit comment contains biological/balneological
f75v,biological_balneological,biological_balneological,medium,explicit comment contains biological/balneological
f76r,unknown,unknown,low,no explicit conventional visual/codicological label found in local comments
f76v,biological_balneological,biological_balneological,medium,explicit comment contains biological/balneological
f77r,biological_balneological,biological_balneological,medium,explicit comment contains biological/balneological
f77v,biological_balneological,biological_balneological,medium,explicit comment contains biological/balneological
f78r,biological_balneological,biological_balneological,medium,explicit comment contains biological/balneological
f78v,biological_balneological,biological_balneological,medium,explicit comment contains biological/balneological
f79r,biological_balneological,biological_balneological,medium,explicit comment contains biological/balneological
f79v,biological_balneological,biological_balneological,medium,explicit comment contains biological/balneological
f80r,biological_balneological,biological_balneological,medium,explicit comment contains biological/balneological
f80v,biological_balneological,biological_balneological,medium,explicit comment contains biological/balneological
f81r,biological_balneological,biological_balneological,medium,explicit comment contains biological/balneological
f81v,biological_balneological,biological_balneological,medium,explicit comment contains biological/balneological
f82r,biological_balneological,biological_balneological,medium,explicit comment contains biological/balneological
f82v,biological_balneological,biological_balneological,medium,explicit comment contains biological/balneological
f83r,biological_balneological,biological_balneological,medium,explicit comment contains biological/balneological
f83v,biological_balneological,biological_balneological,medium,explicit comment contains biological/balneological
f84r,biological_balneological,biological_balneological,medium,explicit comment contains biological/balneological
f84v,biological_balneological,biological_balneological,medium,explicit comment contains biological/balneological
f85r1,unknown,unknown,low,no explicit conventional visual/codicological label found in local comments
f85r2,cosmological,cosmological,medium,explicit comment contains cosmological/rosette
fRos,unknown,unknown,low,no explicit conventional visual/codicological label found in local comments
f86v4,cosmological,cosmological,medium,explicit comment contains cosmological/rosette
f86v6,unknown,unknown,low,no explicit conventional visual/codicological label found in local comments
f86v5,unknown,unknown,low,no explicit conventional visual/codicological label found in local comments
f86v3,cosmological,cosmological,medium,explicit comment contains cosmological/rosette
f87r,herbal,herbal,high,explicit comment contains herbal
f87v,herbal,herbal,high,explicit comment contains herbal
f88r,pharmaceutical,pharmaceutical,medium,explicit comment contains pharmaceutical
f88v,pharmaceutical,pharmaceutical,medium,"explicit comment contains pharmaceutical; multiple cues present: pharmaceutical, recipes_stars"
f89r1,pharmaceutical,pharmaceutical,medium,explicit comment contains pharmaceutical
f89r2,pharmaceutical,pharmaceutical,medium,explicit comment contains pharmaceutical
f89v2,pharmaceutical,pharmaceutical,medium,explicit comment contains pharmaceutical
f89v1,pharmaceutical,pharmaceutical,medium,explicit comment contains pharmaceutical
f90r1,herbal,herbal,high,explicit comment contains herbal
f90r2,herbal,herbal,high,explicit comment contains herbal
f90v2,herbal,herbal,high,explicit comment contains herbal
f90v1,herbal,herbal,high,explicit comment contains herbal
f93r,herbal,herbal,high,explicit comment contains herbal
f93v,herbal,herbal,high,explicit comment contains herbal
f94r,herbal,herbal,high,explicit comment contains herbal
f94v,herbal,herbal,high,explicit comment contains herbal
f95r1,herbal,herbal,high,explicit comment contains herbal
f95r2,herbal,herbal,high,explicit comment contains herbal
f95v2,herbal,herbal,high,explicit comment contains herbal
f95v1,herbal,herbal,high,explicit comment contains herbal
f96r,herbal,herbal,high,explicit comment contains herbal
f96v,herbal,herbal,high,explicit comment contains herbal
f99r,pharmaceutical,pharmaceutical,medium,explicit comment contains pharmaceutical
f99v,unknown,unknown,low,no explicit conventional visual/codicological label found in local comments
f100r,pharmaceutical,pharmaceutical,medium,explicit comment contains pharmaceutical
f100v,pharmaceutical,pharmaceutical,medium,explicit comment contains pharmaceutical
f101r,pharmaceutical,pharmaceutical,medium,explicit comment contains pharmaceutical
f101v,pharmaceutical,pharmaceutical,medium,explicit comment contains pharmaceutical
f102r1,pharmaceutical,pharmaceutical,medium,explicit comment contains pharmaceutical
f102r2,pharmaceutical,pharmaceutical,medium,explicit comment contains pharmaceutical
f102v2,pharmaceutical,pharmaceutical,medium,explicit comment contains pharmaceutical
f102v1,pharmaceutical,pharmaceutical,medium,explicit comment contains pharmaceutical
f103r,recipes_stars,recipes_stars,medium,explicit comment contains recipe/stars
f103v,recipes_stars,recipes_stars,medium,explicit comment contains recipe/stars
f104r,recipes_stars,recipes_stars,medium,explicit comment contains recipe/stars
f104v,recipes_stars,recipes_stars,medium,explicit comment contains recipe/stars
f105r,recipes_stars,recipes_stars,medium,explicit comment contains recipe/stars
f105v,recipes_stars,recipes_stars,medium,explicit comment contains recipe/stars
f106r,recipes_stars,recipes_stars,medium,explicit comment contains recipe/stars
f106v,recipes_stars,recipes_stars,medium,explicit comment contains recipe/stars
f107r,recipes_stars,recipes_stars,medium,explicit comment contains recipe/stars
f107v,recipes_stars,recipes_stars,medium,explicit comment contains recipe/stars
f108r,recipes_stars,recipes_stars,medium,explicit comment contains recipe/stars
f108v,recipes_stars,recipes_stars,medium,explicit comment contains recipe/stars
f111r,recipes_stars,recipes_stars,medium,explicit comment contains recipe/stars
f111v,recipes_stars,recipes_stars,medium,explicit comment contains recipe/stars
f112r,recipes_stars,recipes_stars,medium,explicit comment contains recipe/stars
f112v,recipes_stars,recipes_stars,medium,explicit comment contains recipe/stars
f113r,recipes_stars,recipes_stars,medium,explicit comment contains recipe/stars
f113v,recipes_stars,recipes_stars,medium,explicit comment contains recipe/stars
f114r,recipes_stars,recipes_stars,medium,explicit comment contains recipe/stars
f114v,recipes_stars,recipes_stars,medium,explicit comment contains recipe/stars
f115r,recipes_stars,recipes_stars,medium,explicit comment contains recipe/stars
f115v,recipes_stars,recipes_stars,medium,explicit comment contains recipe/stars
f116r,recipes_stars,recipes_stars,medium,explicit comment contains recipe/stars
f116v,unknown,unknown,low,no explicit conventional visual/codicological label found in local comments
